id,checknumber,starttime,endtime,teamname,servicename,owner,hostname,status,points
1,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 03','morty-dns','Team 03','10.10.3.8','Passed',1
2,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 04','ethan-http','Team 04','ethan','Passed',1
3,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 02','morty-dns','Team 02','10.10.2.8','Passed',1
4,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 01','morty-dns','Team 01','10.10.1.8','Passed',1
5,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 08','ethan-http','Team 08','ethan','Failed',0
6,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 02','shake-http','Team 02','shake','Passed',1
7,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 08','ethan-smtp','Team 08','ethan','Failed',0
8,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 05','frylock-ssh2','Team 05','frylock','Passed',1
9,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 06','shake-http','Team 06','shake','Passed',1
10,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 06','shake-https','Team 06','shake','Passed',1
11,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 01','shake-ssh2','Team 01','shake','Passed',1
12,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 08','frylock-ssh2','Team 08','frylock','Passed',1
13,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 03','shake-http','Team 03','shake','Passed',1
14,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 05','ethan-http','Team 05','ethan','Passed',1
15,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 05','shake-https','Team 05','shake','Passed',1
16,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 07','shake-http','Team 07','shake','Passed',1
17,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 04','shake-http','Team 04','shake','Passed',1
18,1,'2017-03-24 10:52:32','2017-03-24 10:52:33','Team 06','ethan-http','Team 06','ethan','Passed',1
19,1,'2017-03-24 10:52:32','2017-03-24 10:52:34','Team 04','nancy-https','Team 04','nancy','Passed',1
