id,firststatusID,laststatusID,points
1,37,539,-6
2,56,586,-6
3,7,608,-6
4,71,609,-6
5,5,610,-6
6,98,624,-6
7,887,1354,-6
8,860,1450,-6
9,1478,2057,-6
10,1549,2074,-6
11,1546,2075,-6
12,1548,2077,-6
13,1559,2078,-6
14,1560,2080,-6
15,2076,2529,-6
16,2079,2548,-6
17,2175,2702,-6
18,2183,2703,-6
19,2177,2704,-6
20,2617,3145,-6
21,2686,3205,-6
22,2807,3247,-6
23,2806,3254,-6
24,2808,3328,-6
25,2889,3413,-6
26,2892,3415,-6
27,2986,3470,-6
28,3100,3620,-6
29,3117,3637,-6
30,3116,3638,-6
31,3312,3831,-6
32,3414,3933,-6
33,3432,3952,-6
34,3440,3984,-6
35,3437,3995,-6
36,3518,4037,-6
37,3640,4157,-6
38,3723,4243,-6
39,3742,4254,-6
40,3741,4255,-6
41,3950,4376,-6
42,3951,4381,-6
43,3948,4464,-6
44,4055,4538,-6
45,4054,4541,-6
46,4056,4624,-6
47,4073,4672,-6
48,4067,4682,-6
49,4260,4789,-6
50,4348,5057,-6
51,4361,5077,-6
52,4360,5078,-6
53,4561,5235,0
54,4554,5239,0
55,4560,5242,0
56,4558,5322,0
57,4559,5323,0
58,4581,5324,0
59,4580,5325,0
60,4562,5326,0
61,4563,5327,0
62,4557,5328,0
63,4556,5329,0
64,4574,5330,0
65,4575,5331,0
66,4567,5332,0
67,4566,5333,0
68,4587,5334,0
69,4586,5335,0
70,4569,5336,0
71,4571,5337,0
72,4553,5338,0
73,4552,5339,0
74,4576,5340,0
75,4577,5341,0
76,4590,5342,0
77,4591,5343,0
78,4565,5344,0
79,4564,5345,0
80,4588,5346,0
81,4589,5347,0
82,4572,5348,0
83,4573,5349,0
84,4594,5350,0
85,4593,5351,0
86,4578,5352,0
87,4579,5353,0
88,4570,5354,0
89,4568,5355,0
90,4585,5356,0
91,4584,5357,0
92,4611,5361,0
93,4608,5362,0
94,4609,5363,0
95,4610,5364,0
96,4612,5366,0
97,4613,5367,0
98,4642,5389,-6
99,4635,5452,-6
100,4775,5535,-6
101,4831,5560,-6
102,4797,5565,-6
103,5080,5840,-6
104,5211,5966,-6
105,5230,5988,-6
106,5229,5989,-6
107,5461,6150,0
108,5494,6173,0
109,5479,6180,0
110,5493,6210,0
111,5480,6229,0
112,5500,6260,0
113,5499,6261,0
114,5508,6262,0
115,5507,6263,0
116,5475,6264,0
117,5476,6265,0
118,5492,6266,0
119,5491,6267,0
120,5498,6268,0
121,5497,6269,0
122,5482,6270,0
123,5481,6271,0
124,5472,6272,0
125,5471,6273,0
126,5477,6275,0
127,5478,6276,0
128,5505,6277,0
129,5506,6278,0
130,5511,6293,0
131,5512,6294,0
132,5687,6455,-6
133,5690,6464,-6
134,5731,6506,-6
135,5992,6776,-6
136,6126,6907,-6
137,6138,6929,-6
138,6139,6930,-6
139,6331,7126,0
140,6315,7134,0
141,6309,7153,-6
142,6345,7172,-6
143,6304,7174,-6
144,6427,7198,0
145,6428,7199,-6
146,6432,7204,-6
147,6431,7205,-6
148,6429,7206,-6
149,6430,7207,-6
150,6423,7212,-6
151,6422,7213,-6
152,6414,7214,-6
153,6415,7215,-6
154,6416,7216,0
155,6417,7217,-6
156,6419,7220,-6
157,6418,7221,-6
158,6420,7222,-6
159,6421,7223,-6
160,6425,7236,-6
161,6424,7237,0
162,6448,7238,-6
163,6446,7239,-6
164,6453,7251,-6
165,6454,7253,-6
166,6614,7415,-6
167,6648,7418,-6
168,6627,7460,-6
169,6936,7736,-6
170,7094,7778,-6
171,7063,7873,-6
172,7084,7887,-6
173,7085,7888,-6
174,7252,7898,-6
175,7265,8086,-6
176,7332,8117,-6
177,7281,8157,-6
178,7279,8161,0
179,7381,8182,-6
180,7380,8183,0
181,7386,8184,-6
182,7387,8185,-6
183,7405,8188,-6
184,7404,8189,-6
185,7389,8193,-6
186,7388,8194,-6
187,7406,8207,-6
188,7413,8211,-6
189,7414,8212,-6
190,7575,8374,-6
191,7666,8410,-6
192,7651,8480,-6
193,7896,8696,-6
194,7979,8708,-6
195,8028,8841,-6
196,8042,8853,-6
197,8113,8935,-6
198,8110,9015,-6
199,8217,9033,-6
200,8247,9127,0
201,8244,9170,-6
202,8291,9173,-6
203,8534,9335,-6
204,8856,9652,-6
205,8925,9699,-6
206,9013,9726,-6
207,9000,9797,-6
208,9050,9840,-6
209,9039,9849,-6
210,9087,9885,-6
211,9232,9980,0
212,9212,10055,-6
213,9201,10063,-6
214,9214,10066,-6
215,9495,10296,-6
216,9813,10616,-6
217,9853,10625,-6
218,9818,10673,-6
219,9961,10724,-6
220,10040,10780,-6
221,9983,10781,-6
222,10079,10794,-6
223,10018,10835,-6
224,10148,10939,0
225,10193,10953,-6
226,10237,10978,-6
227,10150,11034,-6
228,10455,11255,-6
229,10614,11259,-6
230,10613,11347,-6
231,10771,11570,-6
232,10772,11576,-6
233,10834,11587,-6
234,10846,11647,-6
235,10902,11706,-6
236,10959,11781,-6
237,10963,11794,-6
238,10946,11810,-6
239,11108,11916,-6
240,11100,11941,-6
241,11105,11967,-6
242,11145,12002,0
243,11475,12338,-6
244,11483,12350,-6
245,11562,12533,-6
246,11558,12552,-6
247,11561,12553,-6
248,11564,12562,-6
249,11573,12568,-6
250,11568,12572,-6
251,11556,12573,-6
252,11560,12574,-6
253,11569,12575,-6
254,11565,12594,-6
255,11571,12596,-6
256,11567,12597,-6
257,11563,12598,-6
258,11574,12599,-6
259,11727,12868,-6
260,11736,12872,-6
261,11807,13054,-6
262,11870,13089,-6
263,11936,13223,-6
264,11938,13276,-6
265,12270,13495,0
266,12072,13499,-6
267,12217,13501,0
268,12216,13502,0
269,12284,13504,0
270,12215,13505,0
271,12213,13506,0
272,12101,13507,0
273,12214,13508,0
274,12218,13511,0
275,12268,13512,0
276,12273,13513,0
277,12240,13514,0
278,12205,13515,0
279,12298,13516,0
280,12204,13517,0
281,12201,13518,0
282,12202,13519,0
283,12203,13520,0
284,12057,13523,0
285,12263,13524,0
286,12199,13526,0
287,12198,13527,0
288,12196,13528,0
289,12197,13529,0
290,12200,13530,0
291,12306,13531,0
292,12313,13532,0
293,12312,13533,0
294,12315,13534,0
295,12310,13535,0
296,12314,13536,0
297,12255,13540,0
298,12252,13541,0
299,12251,13542,0
300,12253,13543,0
301,12248,13544,0
302,12290,13554,0
303,12317,13556,0
304,12265,13557,0
305,12266,13558,0
306,12289,13559,0
307,12309,13560,0
308,12288,13561,0
309,12278,13562,0
310,12280,13563,0
311,12277,13564,0
312,12279,13565,0
313,12276,13566,0
314,12274,13567,0
315,12275,13569,0
316,12254,13570,0
317,12294,13571,0
318,12292,13572,0
319,12297,13573,0
320,12242,13574,0
321,12243,13575,0
322,12261,13576,0
323,12259,13577,0
324,12244,13578,0
325,12245,13579,0
326,12258,13581,0
327,12226,13582,0
328,12231,13583,0
329,12227,13584,0
330,12267,13585,0
331,12228,13586,0
332,12230,13587,0
333,12229,13588,0
334,12210,13593,0
335,12208,13594,0
336,12206,13595,0
337,12256,13596,0
338,12257,13597,0
339,12318,13599,0
340,12316,13600,0
341,12301,13601,0
342,12303,13602,0
343,12304,13604,0
344,12302,13605,0
345,12219,13607,0
